step,t,px_actual,py_actual,pz_actual,px_ref,py_ref,pz_ref,pos_err,rot_err_deg,xerr_norm,grip_actual,grip_ref
227,2.270,1.002639,-0.001451,0.045392,1.000000,0.000000,0.043000,0.003846,0.5488,0.010322,1,1
228,2.280,1.002689,-0.001447,0.045383,1.000000,0.000000,0.043000,0.003874,0.5087,0.009687,1,1
229,2.290,1.002725,-0.001442,0.045374,1.000000,0.000000,0.043000,0.003891,0.4696,0.009072,1,1
230,2.300,1.002742,-0.001433,0.045364,1.000000,0.000000,0.043000,0.003894,0.4314,0.008476,1,1
231,2.310,1.002733,-0.001418,0.045355,1.000000,0.000000,0.043000,0.003876,0.3940,0.007894,1,1
232,2.320,1.002690,-0.001396,0.045345,1.000000,0.000000,0.043000,0.003832,0.3578,0.007327,1,1
233,2.330,1.002600,-0.001361,0.045336,1.000000,0.000000,0.043000,0.003751,0.3226,0.006765,1,1
234,2.340,1.002436,-0.001302,0.045327,1.000000,0.000000,0.043000,0.003611,0.2883,0.006194,1,1
235,2.350,1.002161,-0.001204,0.045317,1.000000,0.000000,0.043000,0.003390,0.2553,0.005599,1,1
236,2.360,1.001708,-0.001031,0.045308,1.000000,0.000000,0.043000,0.003051,0.2236,0.004954,1,1
237,2.370,1.000962,-0.000708,0.045299,1.000000,0.000000,0.043000,0.002591,0.1935,0.004257,1,1
238,2.380,0.999720,-0.000077,0.045289,1.000000,0.000000,0.043000,0.002308,0.1652,0.003693,1,1
239,2.390,0.997638,0.001239,0.045280,1.000000,0.000000,0.043000,0.003509,0.1393,0.004269,1,1
240,2.400,0.994238,0.004110,0.045270,1.000000,0.000000,0.043000,0.007433,0.1166,0.007706,1,1
241,2.410,0.989328,0.010388,0.045260,1.000000,0.000000,0.043000,0.015064,0.0984,0.015161,1,1
242,2.420,0.985630,0.022708,0.045251,1.000000,0.000000,0.043000,0.026967,0.0866,0.027009,1,1
